file_name,corpus,model_name,model_size,prompt,vocab,mean,sd,vocab_size,total_words,alpha,beta,singleton_count,r
book2_opt-1.3b_zeroshotopen.json,book2,opt,1.3b,zeroshot,open,126.19,88.24,65867,7571597,27.0591,0.4925,23940,0.999930034
book2_opt-1.3b_zeroshotopen.json,book2,opt,1.3b,zeroshot,open,126.19,88.24,65867,7571597,26.6411,0.493,23940,0.999949473
book2_opt-1.3b_zeroshotopen.json,book2,opt,1.3b,zeroshot,open,126.19,88.24,65867,7571597,29.0817,0.4876,23940,0.999882787
hn_pythia-1b_zeroshotopen.json,hn,pythia,1b,zeroshot,open,217.66,16.54,115972,13059401,2.7097,0.6505,79536,0.999787722
hn_pythia-1b_zeroshotopen.json,hn,pythia,1b,zeroshot,open,217.66,16.54,115972,13059401,2.489,0.6558,79536,0.99972867
hn_pythia-1b_zeroshotopen.json,hn,pythia,1b,zeroshot,open,217.66,16.54,115972,13059401,2.5438,0.6544,79536,0.999741623
wiki_opt-125m_zeroshotopen.json,wiki,opt,125m,zeroshot,open,172.12,67.31,135632,10327394,4.081,0.6443,47731,0.999814178
wiki_opt-125m_zeroshotopen.json,wiki,opt,125m,zeroshot,open,172.12,67.31,135632,10327394,4.0437,0.6449,47731,0.999768909
wiki_opt-125m_zeroshotopen.json,wiki,opt,125m,zeroshot,open,172.12,67.31,135632,10327394,4.2478,0.6418,47731,0.999865168
book2_pythia-70m_zeroshotclosed.json,book2,pythia,70m,zeroshot,closed,123.75,41.22,29941,7425025,179.8865,0.3241,7133,0.997537366
book2_pythia-70m_zeroshotclosed.json,book2,pythia,70m,zeroshot,closed,123.75,41.22,29941,7425025,176.3776,0.3255,7133,0.996420312
book2_pythia-70m_zeroshotclosed.json,book2,pythia,70m,zeroshot,closed,123.75,41.22,29941,7425025,183.8172,0.3227,7133,0.996944255
pubmed_gptneo-1.3b_fewshotclosed.json,pubmed,gptneo,1.3b,fewshot,closed,127.73,54.9,32815,7663931,267.8999,0.3042,5678,0.99609616
pubmed_gptneo-1.3b_fewshotclosed.json,pubmed,gptneo,1.3b,fewshot,closed,127.73,54.9,32815,7663931,266.8539,0.3044,5678,0.995875021
pubmed_gptneo-1.3b_fewshotclosed.json,pubmed,gptneo,1.3b,fewshot,closed,127.73,54.9,32815,7663931,290.3009,0.299,5678,0.995561316
book2_pythia-160m_fewshotclosed.json,book2,pythia,160m,fewshot,closed,162.74,31.62,29203,9764140,97.091,0.3554,8314,0.997813104
book2_pythia-160m_fewshotclosed.json,book2,pythia,160m,fewshot,closed,162.74,31.62,29203,9764140,91.7139,0.359,8314,0.998388062
book2_pythia-160m_fewshotclosed.json,book2,pythia,160m,fewshot,closed,162.74,31.62,29203,9764140,92.6951,0.358,8314,0.998640293
wiki_pythia-1b_oneshotclosed.json,wiki,pythia,1b,oneshot,closed,161.11,15.56,33592,9666450,169.2763,0.3298,9276,0.99715695
wiki_pythia-1b_oneshotclosed.json,wiki,pythia,1b,oneshot,closed,161.11,15.56,33592,9666450,169.8099,0.3296,9276,0.996794342
wiki_pythia-1b_oneshotclosed.json,wiki,pythia,1b,oneshot,closed,161.11,15.56,33592,9666450,166.2143,0.3309,9276,0.996574392
wiki_pythia-70m_oneshotclosed.json,wiki,pythia,70m,oneshot,closed,131.92,37.97,36189,7915367,248.4418,0.3144,7882,0.996385921
wiki_pythia-70m_oneshotclosed.json,wiki,pythia,70m,oneshot,closed,131.92,37.97,36189,7915367,240.1736,0.3166,7882,0.996356067
wiki_pythia-70m_oneshotclosed.json,wiki,pythia,70m,oneshot,closed,131.92,37.97,36189,7915367,239.0166,0.3169,7882,0.996468889
pubmed_opt-125m_zeroshotopen.json,pubmed,opt,125m,zeroshot,open,174.97,60.96,99564,10498105,4.2343,0.6223,35868,0.999830705
pubmed_opt-125m_zeroshotopen.json,pubmed,opt,125m,zeroshot,open,174.97,60.96,99564,10498105,4.3815,0.6202,35868,0.999892588
pubmed_opt-125m_zeroshotopen.json,pubmed,opt,125m,zeroshot,open,174.97,60.96,99564,10498105,4.4737,0.619,35868,0.999848236
pubmed_opt-350m_zeroshotclosed.json,pubmed,opt,350m,zeroshot,closed,110.45,57.32,30088,6626714,171.6024,0.3297,4729,0.997743181
pubmed_opt-350m_zeroshotclosed.json,pubmed,opt,350m,zeroshot,closed,110.45,57.32,30088,6626714,164.2528,0.3325,4729,0.99757588
pubmed_opt-350m_zeroshotclosed.json,pubmed,opt,350m,zeroshot,closed,110.45,57.32,30088,6626714,190.6461,0.3228,4729,0.997239689
hn_gptneo-2.7b_oneshotclosed.json,hn,gptneo,2.7b,oneshot,closed,117.29,64.7,31395,7037543,195.6821,0.3229,7332,0.996823657
hn_gptneo-2.7b_oneshotclosed.json,hn,gptneo,2.7b,oneshot,closed,117.29,64.7,31395,7037543,186.3593,0.326,7332,0.996963143
hn_gptneo-2.7b_oneshotclosed.json,hn,gptneo,2.7b,oneshot,closed,117.29,64.7,31395,7037543,187.1942,0.3258,7332,0.996740015
hn_pythia-2.8b_fewshotclosed.json,hn,pythia,2.8b,fewshot,closed,118.34,55.44,34867,7100547,176.5719,0.3361,6883,0.996752808
hn_pythia-2.8b_fewshotclosed.json,hn,pythia,2.8b,fewshot,closed,118.34,55.44,34867,7100547,166.1346,0.3399,6883,0.99650073
hn_pythia-2.8b_fewshotclosed.json,hn,pythia,2.8b,fewshot,closed,118.34,55.44,34867,7100547,170.4911,0.3383,6883,0.996602721
hn_pythia-1.4b_zeroshotopen.json,hn,pythia,1.4b,zeroshot,open,180.8,57.82,195241,10848121,2.1458,0.7044,124607,0.999698181
hn_pythia-1.4b_zeroshotopen.json,hn,pythia,1.4b,zeroshot,open,180.8,57.82,195241,10848121,2.3885,0.6976,124607,0.999675112
hn_pythia-1.4b_zeroshotopen.json,hn,pythia,1.4b,zeroshot,open,180.8,57.82,195241,10848121,2.2587,0.7014,124607,0.999798642
pubmed_pythia-70m_fewshotclosed.json,pubmed,pythia,70m,fewshot,closed,140.45,35.44,31455,8426744,220.4431,0.3117,6352,0.997720956
pubmed_pythia-70m_fewshotclosed.json,pubmed,pythia,70m,fewshot,closed,140.45,35.44,31455,8426744,244.8364,0.3051,6352,0.997550564
pubmed_pythia-70m_fewshotclosed.json,pubmed,pythia,70m,fewshot,closed,140.45,35.44,31455,8426744,240.2709,0.3062,6352,0.997761654
wiki_opt-1.3b_fewshotopen.json,wiki,opt,1.3b,fewshot,open,186.59,59.12,179732,11195210,6.7723,0.6275,88127,0.99996881
wiki_opt-1.3b_fewshotopen.json,wiki,opt,1.3b,fewshot,open,186.59,59.12,179732,11195210,6.1376,0.6335,88127,0.999910507
wiki_opt-1.3b_fewshotopen.json,wiki,opt,1.3b,fewshot,open,186.59,59.12,179732,11195210,6.4755,0.6302,88127,0.999970175
hn_pythia-410m_zeroshotclosed.json,hn,pythia,410m,zeroshot,closed,96.26,57.56,21320,5775856,58.8706,0.3794,5126,0.997448118
hn_pythia-410m_zeroshotclosed.json,hn,pythia,410m,zeroshot,closed,96.26,57.56,21320,5775856,60.2481,0.3778,5126,0.997562642
hn_pythia-410m_zeroshotclosed.json,hn,pythia,410m,zeroshot,closed,96.26,57.56,21320,5775856,55.5503,0.3831,5126,0.997890433
hn_gptneo-125m_oneshotopen.json,hn,gptneo,125m,oneshot,open,141.95,83.08,107922,8516824,1.3142,0.7086,71712,0.999565325
hn_gptneo-125m_oneshotopen.json,hn,gptneo,125m,oneshot,open,141.95,83.08,107922,8516824,1.3664,0.7063,71712,0.999804333
hn_gptneo-125m_oneshotopen.json,hn,gptneo,125m,oneshot,open,141.95,83.08,107922,8516824,1.0878,0.7206,71712,0.999753071
book2_pythia-70m_fewshotclosed.json,book2,pythia,70m,fewshot,closed,154.58,31.22,32208,9275028,139.9212,0.3398,8057,0.997318844
book2_pythia-70m_fewshotclosed.json,book2,pythia,70m,fewshot,closed,154.58,31.22,32208,9275028,139.23,0.34,8057,0.997231616
book2_pythia-70m_fewshotclosed.json,book2,pythia,70m,fewshot,closed,154.58,31.22,32208,9275028,142.1277,0.3388,8057,0.996631873
hn_opt-2.7b_oneshotclosed.json,hn,opt,2.7b,oneshot,closed,109.87,63.68,32878,6592374,191.9569,0.3284,7577,0.996370967
hn_opt-2.7b_oneshotclosed.json,hn,opt,2.7b,oneshot,closed,109.87,63.68,32878,6592374,183.158,0.3314,7577,0.996499245
hn_opt-2.7b_oneshotclosed.json,hn,opt,2.7b,oneshot,closed,109.87,63.68,32878,6592374,186.0969,0.3304,7577,0.996595507
pubmed_opt-1.3b_fewshotopen.json,pubmed,opt,1.3b,fewshot,open,195.78,45.91,147460,11746842,3.7431,0.6496,79649,0.999642249
pubmed_opt-1.3b_fewshotopen.json,pubmed,opt,1.3b,fewshot,open,195.78,45.91,147460,11746842,4.0448,0.6449,79649,0.999759744
pubmed_opt-1.3b_fewshotopen.json,pubmed,opt,1.3b,fewshot,open,195.78,45.91,147460,11746842,4.6679,0.636,79649,0.999816049
pubmed_opt-2.7b_zeroshotclosed.json,pubmed,opt,2.7b,zeroshot,closed,97.59,61.05,32083,5855672,258.5153,0.3101,5887,0.997399133
pubmed_opt-2.7b_zeroshotclosed.json,pubmed,opt,2.7b,zeroshot,closed,97.59,61.05,32083,5855672,250.0817,0.3123,5887,0.997373456
pubmed_opt-2.7b_zeroshotclosed.json,pubmed,opt,2.7b,zeroshot,closed,97.59,61.05,32083,5855672,256.4611,0.3106,5887,0.997326144
book2_pythia-410m_zeroshotclosed.json,book2,pythia,410m,zeroshot,closed,146.7,47.98,26971,8801790,60.3538,0.3824,6747,0.998075774
book2_pythia-410m_zeroshotclosed.json,book2,pythia,410m,zeroshot,closed,146.7,47.98,26971,8801790,64.7816,0.3781,6747,0.997635192
book2_pythia-410m_zeroshotclosed.json,book2,pythia,410m,zeroshot,closed,146.7,47.98,26971,8801790,72.2497,0.3713,6747,0.997130188
wiki_pythia-410m_fewshotclosed.json,wiki,pythia,410m,fewshot,closed,140.4,35.34,46364,8423829,256.1875,0.3271,9274,0.99567557
wiki_pythia-410m_fewshotclosed.json,wiki,pythia,410m,fewshot,closed,140.4,35.34,46364,8423829,258.3659,0.3265,9274,0.99496811
wiki_pythia-410m_fewshotclosed.json,wiki,pythia,410m,fewshot,closed,140.4,35.34,46364,8423829,245.9952,0.3296,9274,0.995253911
hn_opt-1.3b_oneshotopen.json,hn,opt,1.3b,oneshot,open,158.45,76.73,159489,9507248,2.0305,0.7011,92463,0.999699446
hn_opt-1.3b_oneshotopen.json,hn,opt,1.3b,oneshot,open,158.45,76.73,159489,9507248,2.2105,0.6959,92463,0.99977116
hn_opt-1.3b_oneshotopen.json,hn,opt,1.3b,oneshot,open,158.45,76.73,159489,9507248,2.0825,0.6996,92463,0.999675041
wiki_opt-350m_zeroshotopen.json,wiki,opt,350m,zeroshot,open,145.05,79.55,138662,8703297,6.6754,0.622,49265,0.999971813
wiki_opt-350m_zeroshotopen.json,wiki,opt,350m,zeroshot,open,145.05,79.55,138662,8703297,6.6108,0.6227,49265,0.999963492
wiki_opt-350m_zeroshotopen.json,wiki,opt,350m,zeroshot,open,145.05,79.55,138662,8703297,6.2471,0.6262,49265,0.99990473
